"","image","family","tribe","genus","species","type","complete","corrupt","folds_species","folds_tribe","size"
"1","DSC_0674","Bovidae","Neotragini","Raphicerus","campestris","UM2",1,0,5,3,950.264068711929
"2","DSC_0685","Bovidae","Neotragini","Raphicerus","campestris","UM2",1,0,1,3,1076.83261120685
"3","DSC_0689","Bovidae","Neotragini","Raphicerus","campestris","UM2",1,0,5,1,950.808224589213
"4","DSC_0692","Bovidae","Neotragini","Raphicerus","campestris","UM2",1,0,1,4,1018.22958082652
"5","DSC_0696","Bovidae","Neotragini","Raphicerus","campestris","UM2",1,0,3,2,1018.22958082652
"6","DSC_0702","Bovidae","Neotragini","Raphicerus","campestris","UM2",1,0,2,1,1021.61940777126
"7","DSC_0708","Bovidae","Neotragini","Raphicerus","campestris","UM2",1,0,3,2,1230.53109601669
"8","DSC_0715","Bovidae","Neotragini","Raphicerus","campestris","UM2",1,0,1,4,1016.32294321497
"9","DSC_0721","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,4,3,2985.44400975139
"10","DSC_0728","Bovidae","Hippotragini","Oryx","gazella","UM2",-1,0,5,5,7429.88123576535
"11","DSC_0735","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,4,4,2550.03989745679
"12","DSC_0738","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,5,2,3058.07142674936
"13","DSC_0744","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,4,1,2699.05209076561
"14","DSC_0751","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,1,2,3475.19841047145
"15","DSC_0757","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,1,3,2787.98102295374
"16","DSC_0762","Bovidae","Hippotragini","Oryx","gazella","UM2",0,0,4,1,2666.02265351409
"17","DSC_0765","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,4,3,3029.71817973109
"18","DSC_0771","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,1,3,3657.74970902367
"19","DSC_0777","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,3,1,2725.3262607453
"20","DSC_0782","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,5,2,3386.24509166567
"21","DSC_0788","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,4,3,2927.33636201307
"22","DSC_0794","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,1,2,3219.91918985787
"23","DSC_0799","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,1,4,3151.08362005818
"24","DSC_0805","Bovidae","Hippotragini","Oryx","gazella","UM2",1,0,2,2,3168.20346110533
"25","DSC_0814","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,5,2,3701.86031535482
"26","DSC_0820","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,4,2,3685.34768877011
"27","DSC_0827","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,5,3,3793.34768877011
"28","DSC_0833","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,4,1,3416.3872272894
"29","DSC_0836","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,2,5,2832.75771825038
"30","DSC_0842","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,1,3,3536.12734265958
"31","DSC_0848","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,2,1,3082.63282656935
"32","DSC_0854","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,4,1,2915.40237919105
"33","DSC_0860","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,3,3,4410.95995386643
"34","DSC_0866","Bovidae","Hippotragini","Hippotragus","equinus","UM2",1,0,3,4,3770.92842457386
"35","DSC_0872","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,1,2,5,2382.65007051205
"36","DSC_0878","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,1,5,1,3346.04408153889
"37","DSC_0884","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,1,5,2,3035.45115242633
"38","DSC_0889","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,1,4,4,2246.86832458153
"39","DSC_0892","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,1,3,3,3215.14249456123
"40","DSC_0898","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,0,1,5,3501.64206128534
"41","DSC_0904","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,0,2,4,3009.10800667582
"42","DSC_0910","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,1,1,2,3371.68369184568
"43","DSC_0915","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,0,3,1,3260.70598642227
"44","DSC_0921","Bovidae","Hippotragini","Hippotragus","niger","UM2",1,0,4,2,3293.91918985787
"45","DSCN2519","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,4,1,2422.78506346085
"46","DSCN2528","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,5,5,2507.75562620933
"47","DSCN2534","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,4,3,2466.80230740355
"48","DSCN2541","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,1,4,2293.99112422151
"49","DSCN2548","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,1,5,2453.44696834422
"50","DSCN2552","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,3,2,2483.30483272049
"51","DSCN2560","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,5,4,2529.89061915812
"52","DSCN2563","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",-2,0,5,1,2633.23585694968
"53","DSCN2568","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,1,1,2566.44191771034
"54","DSCN2573","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,3,2,2808.22366364086
"55","DSCN2577","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,3,5,2600.16478913782
"56","DSCN2582","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,5,1,2527.31197539543
"57","DSCN2586","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,2,3,2397.53022946491
"58","DSCN2591","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,4,3,2771.45411101916
"59","DSCN2598","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,2,5,2727.98102295374
"60","DSCN2602","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,4,1,2340.55966671643
"61","DSCN2607","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,4,4,2155.84898859778
"62","DSCN2701","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,2,4,2348.80945007849
"63","DSCN2705","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",-1,0,NA,2,2638.34141264695
"64","DSCN2709","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,2,2820.99321626256
"65","DSCN2713","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",-1,0,NA,1,2602.65007051205
"66","DSCN2718","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",-1,0,NA,5,2622.02979618902
"67","DSCN2722","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,4,2463.98102295374
"68","DSCN2726","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,5,2528.2652942012
"69","DSCN2730","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",-1,0,NA,4,2706.2652942012
"70","DSCN2734","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,4,2605.57900270019
"71","DSCN2737","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,5,2833.94653506834
"72","DSCN2740","Bovidae","Alcelaphini","Connochaetes","gnou","UM2",1,0,2,4,2318.54242277373
"73","DSCN2748","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,1,2545.43686707646
"74","DSCN2752","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,1,2896.17193181275
"75","DSCN2756","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,3,2504.76781951815
"76","DSCN2760","Bovidae","Alcelaphini","Connochaetes","taurinus","UM2",1,0,NA,2,2752.53232150596
"77","DSCN2811","Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2",1,1,5,4,2249.1698397717
"78","DSCN2819","Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2",1,0,2,4,2221.71399564898
"79","DSCN2823","Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2",1,0,4,3,2202.92005640964
"80","DSCN2827","Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2",1,0,1,4,1996.30988335438
"81","DSCN2835","Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2",1,0,1,2,2344.33426997202
"82","DSCN2839","Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2",1,1,2,2,1490.15346238077
"83","DSCN2843","Bovidae","Alcelaphini","Alcelaphus","buselaphus","UM2",0,0,5,5,2067.7829714198
