"","image","family","tribe","genus","species","type","complete","corrupt","folds_species","folds_tribe","size"
"1","DSC_0935","Bovidae","Neotragini","Raphicerus","campestris","LM1",-1,0,4,3,908.54833995939
"2","DSC_0938","Bovidae","Neotragini","Raphicerus","campestris","LM1",-1,0,5,3,908.121933088198
"3","DSC_0942","Bovidae","Neotragini","Raphicerus","campestris","LM1",-1,0,2,3,836.991990773286
"4","DSC_0945","Bovidae","Neotragini","Raphicerus","campestris","LM1",-1,0,5,3,859.39401102684
"5","DSC_0949","Bovidae","Neotragini","Raphicerus","campestris","LM1",-1,0,1,1,921.962553521764
"6","DSC_0953","Bovidae","Neotragini","Raphicerus","campestris","LM1",-1,0,5,5,763.210244842766
"7","DSC_0957","Bovidae","Hippotragini","Oryx","gazella","LM1",-2,0,1,1,2080.84393796389
"8","DSC_0960","Bovidae","Hippotragini","Oryx","gazella","LM1",1,0,3,1,2227.29473145273
"9","DSC_0963","Bovidae","Hippotragini","Oryx","gazella","LM1",-1,-1,4,5,1704.86414049943
"10","DSC_0968","Bovidae","Hippotragini","Oryx","gazella","LM1",-1,-1,5,5,1628.97178823775
"11","DSC_0972","Bovidae","Hippotragini","Oryx","gazella","LM1",1,0,5,4,2776.33131137919
"12","DSC_0973","Bovidae","Hippotragini","Oryx","gazella","LM1",1,0,5,5,2327.82164338731
"13","DSC_0976","Bovidae","Hippotragini","Oryx","gazella","LM1",1,0,4,3,2219.22871427475
"14","DSC_0981","Bovidae","Hippotragini","Oryx","gazella","LM1",-1,0,2,5,1514.39610306789
"15","DSC_0985","Bovidae","Hippotragini","Oryx","gazella","LM1",1,0,1,4,2518.04704013172
"16","DSC_0988","Bovidae","Hippotragini","Oryx","gazella","LM1",1,0,4,2,2627.83174465507
"17","DSC_0993","Bovidae","Hippotragini","Oryx","gazella","LM1",-1,0,4,1,1730.36161518249
"18","DSC_0998","Bovidae","Hippotragini","Oryx","gazella","LM1",-2,0,1,2,2725.69675170628
"19","DSC_1003","Bovidae","Hippotragini","Hippotragus","equinus","LM1",-2,0,3,5,2471.89061915812
"20","DSC_1008","Bovidae","Hippotragini","Hippotragus","equinus","LM1",1,0,5,3,2852.85822331377
"21","DSC_1013","Bovidae","Hippotragini","Hippotragus","equinus","LM1",1,0,1,1,2829.84603000495
"22","DSC_1018","Bovidae","Hippotragini","Hippotragus","equinus","LM1",1,0,2,1,2870.75771825038
"23","DSC_1023","Bovidae","Hippotragini","Hippotragus","equinus","LM1",1,0,4,3,3165.89480324023
"24","DSC_1028","Bovidae","Hippotragini","Hippotragus","equinus","LM1",1,0,4,4,3087.97092168598
"25","DSC_1033","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,4,2,2470.34141264695
"26","DSC_1038","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,3,1,2333.24595821745
"27","DSC_1043","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,2,2,2577.35360595577
"28","DSC_1048","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,5,4,2156.15764646288
"29","DSC_1052","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,4,3,2204.95454429505
"30","DSC_1057","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,3,3,2790.95158570222
"31","DSC_1063","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,2,1,2044.39314447506
"32","DSC_1068","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,1,2,2453.99826689645
"33","DSC_1073","Bovidae","Hippotragini","Hippotragus","niger","LM1",1,0,2,3,2323.38809384118
"34","DSCN2612","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,3,5,1845.17279836453
"35","DSCN2616","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,4,2,2068.25100885133
"36","DSCN2624","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,2,4,1964.8784258493
"37","DSCN2628","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-2,0,2,1,1706.11897449537
"38","DSCN2632","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-2,0,1,1,1750.18499167335
"39","DSCN2636","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,2,2,1927.42258172659
"40","DSCN2640","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,1,5,1792.38600180013
"41","DSCN2644","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,5,1,1922.36875785742
"42","DSCN2648","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-1,0,2,3,1899.45706961199
"43","DSCN2651","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,1,3,1794.82965261402
"44","DSCN2654","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-1,0,4,5,1787.27330342792
"45","DSCN2658","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-1,0,5,1,1782.20223561605
"46","DSCN2662","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-1,0,4,4,1768.62864248725
"47","DSCN2666","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-1,0,1,4,1861.63369312113
"48","DSCN2670","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",0,0,1,4,1888.71190360793
"49","DSCN2673","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-1,0,3,5,2128.50079221339
"50","DSCN2676","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-2,0,5,3,1674.37885912519
"51","DSCN2679","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-2,0,5,5,1786.54538136656
"52","DSCN2682","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-2,0,1,3,1347.41839764448
"53","DSCN2686","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",-1,0,3,3,1900.75353416827
"54","DSCN2690","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,3,3,1997.3220766632
"55","DSCN2698","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,5,2,2084.73629022557
"56","DSCN2745","Bovidae","Alcelaphini","Connochaetes","gnou","LM1",1,0,3,2,1852.49364953845
